startsum_low,startsum_high,age_low,age_high,distance,starttype,gender,applicants,addition,first_price,good_prop,id,starting_total,starting_women
0,1500000,3,12,3140,0,0,14,1,70000,1,279,13,0
0,12000000,0,12,2140,1,0,8,0,0,0,280,8,1
0,12000000,4,12,2140,1,0,1,0,0,0,281,1,0
0,12000000,2,2,1640,0,0,9,1,30000,0,282,9,1
0,9000,3,12,2140,1,0,11,0,30000,1,283,11,3
0,40000,3,12,1640,2,0,10,0,30000,0,284,10,2
0,750000,3,3,2140,2,1,14,0,60000,1,285,12,1
40001,140000,3,12,2140,2,0,21,0,30000,1,286,12,5
0,240000,3,12,2140,0,0,17,1,30000,1,287,15,3
0,12000000,3,12,2640,0,0,14,1,30000,1,288,13,1
0,12000000,0,12,2140,1,0,6,0,0,0,289,6,1
0,12000000,3,3,2140,2,0,7,0,100000,0,290,6,0
0,49000,3,3,2140,1,1,8,0,60000,0,291,8,1
0,62000,3,12,2140,1,0,9,1,30000,0,292,9,2
40001,165000,3,12,2140,2,0,16,0,30000,1,293,12,6
62001,225000,3,12,1640,2,0,18,0,30000,1,294,12,2
200001,570000,3,12,1640,2,1,11,0,70000,1,295,11,1
545001,12000000,3,12,1640,2,0,6,0,70000,0,296,6,1
0,12000000,0,12,2140,2,0,6,0,0,0,297,6,1
0,12000000,2,12,2140,1,0,1,0,0,0,298,1,0
0,12000000,4,12,2140,1,0,1,0,0,0,299,1,0
0,19000,3,12,2140,1,0,7,0,30000,0,300,7,1
0,50000,3,12,2140,2,0,8,0,30000,0,301,8,1
0,75000,3,12,2140,2,0,8,0,60000,0,302,7,1
50001,130000,3,12,2640,2,0,10,0,50000,0,303,10,0
100001,250000,3,7,2140,2,1,13,0,50000,1,304,12,1
130001,316575,3,12,2140,2,0,8,0,50000,0,305,8,2
30001,12000000,3,3,2140,2,1,6,0,60000,0,306,6,0
0,12000000,0,12,2140,1,0,5,0,0,0,307,5,1
0,12000000,2,12,2140,1,0,1,0,0,0,308,1,0
0,11000,3,12,2140,1,0,8,0,30000,0,309,7,0
0,29000,3,12,2140,1,0,7,0,30000,0,310,6,1
0,59000,3,12,2140,1,0,10,0,30000,0,311,10,0
29001,95000,3,12,2140,2,1,10,0,30000,0,312,10,0
59001,125000,3,12,1640,2,0,10,0,30000,0,313,10,0
