startsumma,häst,startpoäng,ålder,kön,tränare,tränarkön,tjänat_innev_år,proffs_amatör,id
983500,A Good Point,4410,4,h,Lövgren Joakim (J),0,0,1,169
982762,Van Gogh ZS (IT),4055,7,v,Bergh Robert (Å),0,0,1,170
982277,Gandhi Boko,320,8,v,Lindgren Marcus (Hd),0,0,1,171
981272,Cantona Mearas,224,9,v,Persson Håkan K (Hd),0,8500,1,172
980671,Counterfeightr,895,9,v,Lindgren Marcus (Hd),0,27500,1,173
974870,Au Pair Girl,852,6,s,Bergh Robert (Å),0,40771,1,174
973900,Lord Flax,1080,10,h,Hollsten Henrik (Ax),0,0,0,175
965800,Chosen One,155,11,v,Ericsson Sofie (Hd),1,1500,0,176
959753,Nero Maximus* (AT),1060,6,h,Lugauer Conrad (J),0,77627,1,177
959202,Inertial,849,7,v,Karlsson Ola (J),0,62400,1,178
957000,Mahma Lane,4070,5,s,Untersteiner Peter (Hd),0,0,1,179
947000,Aperfecttric,1175,4,s,Oscarsson Jim (Kr),0,0,1,180
945800,Västerbo Lexington,3028,5,h,Bergh Robert (Å),0,0,1,181
939106,The Real Star,985,7,v,Persson Fredrik (Kr),0,76000,1,182
937550,Liza With a Z,189,10,s,Thorson Olof (Å),0,15900,0,183
926848,Fabio de Pervenche* (DE),1444,6,h,Lugauer Conrad (J),0,86900,1,184
911600,Procalate,1148,6,s,Nilsson Lars I (J),0,45000,1,185
910721,Bag's Simoni (DK),115,8,v,Heiskanen Veijo (Å),0,16500,1,186
908800,Vikings Preacher,1400,7,v,Granlund Stefan (Kr),0,95000,1,187
906000,Yippie Chic,174,10,s,Feldt Lars-Erik (Å),0,2000,0,188
904000,Sandsjöns Enzo,800,6,h,Untersteiner Johan (Hd),0,500,1,189
903000,Robin Hood,1494,8,v,Olsson Mats (Å),0,45000,0,190
892698,Magic Happens,829,8,v,Untersteiner Peter (Hd),0,32900,1,191
891450,Quattro Töll,1402,9,v,Uhrberg Thomas (J),0,67000,1,192
891197,Star Keeper,1385,10,v,Bendz Roy (Hd),0,4500,0,193
890387,Mr Jäger,195,12,v,Drottmar Christian (J),0,5000,0,194
890250,Mitos Gold,184,8,v,Strandqvist Linn (Hd),1,12900,1,195
888880,Pokemon Ås,55,9,v,Örberg Bo (J),0,5000,0,196
879986,Zefiro Dei Cedri (IT),509,6,v,Lövgren Joakim (J),0,0,1,197
879601,Thriller NP (IT),2415,9,v,Dahlén Magnus (Hd),0,0,1,198
879500,Racing Ribb,3167,7,v,Kolgjini Adrian (J),0,205000,1,199
873500,Joyride Cane,914,8,h,Oscarsson Jonas M (Hd),0,58900,0,200
870600,Sheriffen,310,10,v,Gottfridsson Thony (Kr),0,7500,0,201
857321,Everton (NL),890,10,v,Hagström Kim (Hd),1,0,0,202
855550,Surprise Power,40,13,v,Gustafsson Joachime (J),0,0,0,203
854900,Sweetman,3915,5,v,Nilsson Lars I (J),0,331000,1,204
853200,Bubba Degato,95,10,v,Thorson Olof (Å),0,2500,0,205
852146,Börge (DK),860,8,v,Järpedal Lars (Å),0,0,0,206
850300,Day Sun Dream (US),654,11,v,Dyhrberg Svend (Hd),0,25000,1,207
837567,Jupiter Rodney,110,13,h,Örberg Bo (J),0,0,0,208
837028,Pilevallas Krabat,185,13,v,Ahlborg Cecilia (J),1,500,0,209
836750,Jack Bowler,694,9,v,Zackrisson Anders (Kr),0,2000,1,210
834203,Dats So Cool,1195,6,v,Martinsson Eric (Ax),0,64500,1,211
833300,Eclipse Am,3630,7,h,Kolgjini Adrian (J),0,255500,1,212
829054,Eldorado Mearas,1065,7,v,Untersteiner Peter (Hd),0,0,1,213
826700,Copaca Banana,1365,8,v,Rosenberg Maria (Kr),1,1000,0,214
824081,Royal Prince,84,10,v,Stenquist Niclas (Ax),0,0,1,215
822035,URAmazing* (DE),950,8,v,Malmqvist Tomas (J),0,42500,1,216
817900,Appaloosa,1980,6,s,Falsig Bo (Å),0,117000,1,217
814450,Dumas Sand,615,14,v,Svanhall Irene (Kr),1,11000,0,218
810973,Wildintention Ås (US),273,9,v,Örberg Bo (J),0,27300,0,219
810900,Neelix,1420,7,v,Kolgjini Adrian (J),0,35000,1,220
810498,Hakon von Haithabu (DE),355,8,v,Jonsson Angelica (Ax),1,500,0,221
809000,Darah Bibo,1870,6,s,Untersteiner Peter (Hd),0,6500,1,222
807202,Sanda Love (NO),475,9,v,Bergh Robert (Å),0,0,1,223
804600,Call Me Brodda,2790,6,s,Madsen Thomas (Kr),0,224000,1,224
801716,Zizou (IT),1492,6,h,Heiskanen Veijo (Å),0,41000,1,225
795154,Cafu Boko (FR),215,9,v,Aurell Laursen Katarina (Ax),1,8000,1,226
790900,Belong Life,462,10,v,Lähdekorpi Hanna (Hd),1,9200,0,227
787500,Hurricane River,1365,6,v,Samuelsson Ola (J),0,97500,1,228
787000,Tabasco CD,1900,5,h,Granlund Stefan (Kr),0,0,1,229
785000,Good Vibes,8475,3,s,Nordström Per (J),0,150000,1,230
784900,Dynamite Light,1620,9,v,Göransson Carl-Otto (Hd),0,87000,1,231
784500,Despot Power,1000,4,h,Madsen Thomas (Kr),0,0,1,232
779882,Howdy Partner* (FR),3068,4,h,Malmqvist Tomas (J),0,241060,1,233
779296,Trovatore (IT),40,9,v,Zukanovic Admir (Å),0,0,1,234
773876,Sphinx d'Inverne,235,8,v,Madsen Thomas (Kr),0,0,1,235
773550,Ibelieveinamerica,1340,8,v,Frumerie Louise (Å),1,24500,0,236
770446,Bordeaux S,1221,5,v,Riordan Jerry (Hd),0,0,1,237
769643,Wingait Erik,620,8,v,Larsson Pernilla (Hd),1,32500,0,238
766000,Sogno di Volare (US),95,9,v,Forssell Anna (Ax),1,0,1,239
764558,All of the Time (US),307,8,v,Frohberg Ralf (Ax),0,0,0,240
763396,Early Pactol (FR),660,7,h,Malmqvist Tomas (J),0,18755,1,241
748750,Townshend Broline,1038,6,v,Lövgren Joakim (J),0,7500,1,242
747950,Natosi Goj,1050,11,v,Hellstedt Jan (Vg),0,0,1,243
745500,Super Grabben,300,8,v,Elfstrand Mimmi (Ax),1,0,1,244
744800,Milord,1170,8,v,Martinsson Eric (Ax),0,77000,1,245
744500,Rackham,2760,5,h,Eriksson Christoffer (J),0,0,1,246
740600,Quite EWood,1900,7,v,Eklundh André (Å),0,115000,1,247
739500,Exclusive Matter,1280,5,v,Untersteiner Johan (Hd),0,133000,1,248
738450,Dream in Matchtown,184,10,v,Johansson Henrik (Vg),0,13400,0,249
737300,Speedy Tilly,1635,6,v,Bergh Robert (Å),0,13000,1,250
734962,Gizmo de Veluwe (FI),685,8,h,Zukanovic Admir (Å),0,500,1,251
726209,Gento* (NL),875,8,v,van der Meer Patricia (J),1,0,1,252
725800,Grandfather Bill,250,8,v,Untersteiner Peter (Hd),0,8500,1,253
722400,Victory Lee,1725,6,v,Kolgjini Adrian (J),0,92000,1,254
